1, 3 -13 -16 10 24 -7 9 -14 -15 19 -6 17 -26 -5 18 8 1 20 22 21 28 -25 2 4 -11 12 23 27 29 30 
2, 3 13 16 -14 -24 7 15 10 17 19 -8 28 -22 -9 -5 26 -25 18 27 -29 -2 -20 1 -4 -6 11 -12 -21 23 -30 
3, 3 13 -16 24 14 7 -10 -15 17 5 -6 9 -11 29 -25 -20 8 -30 1 18 -28 27 23 2 -4 -12 19 21 -22 26 
4, 3 13 16 -14 -24 7 15 10 -20 -17 -19 -8 9 -5 25 -6 18 28 -27 -1 23 2 -26 -30 -21 -4 11 12 -22 29 
5, 3 -13 -16 -10 -15 24 9 14 26 -6 17 25 7 -18 29 -5 2 28 1 21 11 4 8 -12 -19 -20 22 -23 27 30 
6, 3 13 -16 24 -14 7 -11 -10 -15 -17 9 5 -6 22 8 -19 26 -21 20 -25 -30 1 28 -2 4 -12 -18 -23 -27 -29 
7, 3 -13 -16 10 24 7 5 -14 9 19 -6 -15 17 29 -20 25 -8 -22 -18 -26 28 1 -4 2 -11 -12 21 23 -27 30 
8, -3 -7 14 -24 -19 -13 25 -26 -15 -6 -8 18 27 9 16 10 17 -20 1 -2 4 -5 11 12 -21 22 23 -28 29 -30 
9, -3 -7 14 24 -28 13 6 -10 27 16 15 9 -2 19 -25 -26 -5 17 30 -21 -8 20 -1 -4 -11 12 18 -22 -23 -29 
10, 3 13 -16 24 14 7 -19 10 5 -15 17 -30 6 -9 18 25 28 -27 -23 -1 -20 -26 -2 -4 -8 -11 12 21 -22 -29 
